sic,spider,Stable End Date,Stable Last Price,LLM Price Date,LLM Price,price_frequency,status,specification
US1032,mintec,2024-11-27,2.59,,,weekly,"Needs Attention: Different Price, Different Dates","Almond std 5%, Almond kernels, Blanchable varieties, Unsized, 5% serious defects (NAL1), FAS USA"
US454,urner_barry_api,2024-11-27,1.43,2024-12-17,1.44,daily,"Needs Attention: Different Price, Different Dates","East Boneless/Skinless Thigh Meat, 5 oz & up, Warehouse Delivered"
US5159,usda_mars,2024-11-27,51.57,2024-12-13,51.5,daily,"Needs Attention: Different Price, Different Dates","Leg quarters - Bulk, F.O.B., Delivered National, F.O.B."
US5113,usda_shippingpoint,2024-11-27,71.25,2024-12-17,67.25,daily,"Needs Attention: Different Price, Different Dates","Avocados, Size 40s, Mexico crossings through Texas, cartons 2 layer, HASS, Non organic, Average of mostly high & mostly low, Mexico crossings through Texas"
US5107,usda_shippingpoint,2024-11-27,51.25,2024-12-17,50.25,daily,"Needs Attention: Different Price, Different Dates","Avocados, Size 48s, Mexico crossings through Texas, cartons 2 layer, HASS, Non organic, Average of mostly high & mostly low, Mexico crossings through Texas"
US5105,vesper,2024-11-27,2.6,2024-12-11,2.57,weekly,"Needs Attention: Different Price, Different Dates","Butter, lb, USD, Delivered U.S."
US1037,mintec,2024-11-27,2.7,,,weekly,"Needs Attention: Different Price, Different Dates","Almond California Select Sheller Run 27/30 FAS US (MBP) (RU25), FAS USA"
US4962,emi,2024-11-26,67.0,2024-12-17,67.125,daily,"Needs Attention: Different Price, Different Dates","Legs, All Whole, Frozen, Delivered U.S."
US5799,fastmarketrisi,2024-11-27,850.0,2024-12-13,820.0,weekly,"Needs Attention: Different Price, Different Dates","Northern Bleached Softwood Kraft (spot), delivered US East, Delivered US"
US385,the_jacobsen,2024-11-27,52.0,2024-12-17,52.0,daily,"Needs Attention: Same Price, Different Dates","Edible Tallow, Delivered Chicago"
US5136,sosland,2024-11-27,48.5,2024-12-13,48.5,weekly,"Needs Attention: Same Price, Different Dates","Regular Corn Syrup, Delivered Midwest, Delivered Midwest"
US5788,fastmarketrisi,2024-11-27,1445.0,2024-11-18,1445.0,weekly,"Needs Attention: Same Price, Different Dates","UWF 20-lb copy paper, 92 bright, US East, Delivered US East"
US5477,eia,2024-11-25,73.73,2024-12-09,73.73,daily,"Needs Attention: Same Price, Different Dates","UK Brent Crude Oil, Spot Price, FOB, Europe Brent Spot Price FOB (Dollars per Barrel), $/BBL, F.O.B."
